"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
BEL,2012-01-01 00:00:00.000,61.0,505.0,367.0,6508.0,36.0,31.0,53.0,7560.0,
BEL,2013-01-01 00:00:00.000,64.0,517.0,398.0,6560.0,40.0,49.0,56.0,7684.0,
BEL,2014-01-01 00:00:00.000,66.0,566.0,437.0,6658.0,48.0,45.0,67.0,7887.0,
BEL,2015-01-01 00:00:00.000,65.0,603.0,498.0,7018.0,59.0,34.0,78.0,8355.0,
BEL,2016-01-01 00:00:00.000,64.0,493.0,343.0,6400.0,45.0,74.0,62.0,7481.0,
BEL,2017-01-01 00:00:00.000,70.0,621.0,429.0,6978.0,57.0,163.0,67.0,8385.0,
BEL,2018-01-01 00:00:00.000,75.0,704.0,487.0,7527.0,73.0,177.0,77.0,9119.0,
BEL,2019-01-01 00:00:00.000,75.0,742.0,504.0,7677.0,74.0,201.0,70.0,9343.0,
BEL,2020-01-01 00:00:00.000,26.0,114.0,64.0,2299.0,14.0,58.0,10.0,2584.0,
BEL,2021-01-01 00:00:00.000,30.0,114.0,31.0,2933.0,24.0,102.0,10.0,3243.0,
BLZ,2012-01-01 00:00:00.000,,227.0,7.0,29.0,2.0,12.0,,277.0,12.0
BLZ,2013-01-01 00:00:00.000,,240.0,8.0,32.0,2.0,12.0,,294.0,12.0
BLZ,2014-01-01 00:00:00.000,,257.0,8.0,39.0,3.0,14.0,,321.0,14.0
BLZ,2015-01-01 00:00:00.000,,272.0,10.0,41.0,2.0,15.0,,341.0,15.0
BLZ,2016-01-01 00:00:00.000,,314.0,11.0,43.0,2.0,15.0,,386.0,15.0
BLZ,2017-01-01 00:00:00.000,,350.0,11.0,50.0,2.0,14.0,,427.0,14.0
BLZ,2018-01-01 00:00:00.000,,403.0,13.0,59.0,3.0,11.0,,489.0,11.0
BLZ,2019-01-01 00:00:00.000,,413.0,13.0,60.0,3.0,14.0,,503.0,14.0
BLZ,2020-01-01 00:00:00.000,,121.0,4.0,16.0,1.0,3.0,,144.0,3.0
BLZ,2021-01-01 00:00:00.000,,206.0,2.0,8.0,1.0,2.0,,219.0,2.0
BEN,2012-01-01 00:00:00.000,135.0,5.0,3.0,54.0,3.0,19.0,1.0,220.0,
BEN,2013-01-01 00:00:00.000,134.0,8.0,6.0,50.0,4.0,27.0,2.0,231.0,
BEN,2014-01-01 00:00:00.000,137.0,9.0,12.0,50.0,6.0,27.0,3.0,242.0,
BEN,2015-01-01 00:00:00.000,154.0,10.0,10.0,50.0,5.0,22.0,3.0,255.0,
BEN,2016-01-01 00:00:00.000,152.0,10.0,10.0,49.0,5.0,40.0,2.0,267.0,
BEN,2017-01-01 00:00:00.000,157.0,12.0,14.0,58.0,5.0,32.0,3.0,281.0,
BEN,2018-01-01 00:00:00.000,158.0,12.0,15.0,60.0,6.0,39.0,5.0,295.0,
BEN,2019-01-01 00:00:00.000,162.0,12.0,15.0,61.0,6.0,47.0,5.0,309.0,
BEN,2020-01-01 00:00:00.000,164.0,12.0,16.0,63.0,7.0,58.0,6.0,325.0,
BEN,2021-01-01 00:00:00.000,164.0,12.0,16.0,63.0,7.0,58.0,6.0,325.0,
BTN,2012-01-01 00:00:00.000,,,,,,,,,
BTN,2013-01-01 00:00:00.000,,,,,,,,,
BTN,2014-01-01 00:00:00.000,,,,,,,,,
BTN,2015-01-01 00:00:00.000,,,,,,,,,
BTN,2016-01-01 00:00:00.000,,,,,,,,,
BTN,2017-01-01 00:00:00.000,,,,,,,,,
BTN,2018-01-01 00:00:00.000,,,,,,,,,
BTN,2019-01-01 00:00:00.000,,,,,,,,,
BTN,2020-01-01 00:00:00.000,,,,,,,,,
BTN,2021-01-01 00:00:00.000,,,,,,,,,
BOL,2012-01-01 00:00:00.000,3.0,580.0,49.0,166.0,9.0,,2.0,798.0,
BOL,2013-01-01 00:00:00.000,1.0,584.0,56.0,157.0,9.0,,2.0,798.0,
BOL,2014-01-01 00:00:00.000,2.0,633.0,47.0,178.0,9.0,,2.0,871.0,
BOL,2015-01-01 00:00:00.000,1.0,642.0,51.0,181.0,5.0,,1.0,882.0,
BOL,2016-01-01 00:00:00.000,1.0,715.0,56.0,187.0,3.0,,2.0,961.0,
BOL,2017-01-01 00:00:00.000,2.0,848.0,62.0,195.0,1.0,,2.0,1109.0,
BOL,2018-01-01 00:00:00.000,2.0,869.0,64.0,203.0,1.0,,2.0,1142.0,
BOL,2019-01-01 00:00:00.000,2.0,973.0,60.0,203.0,1.0,,2.0,1239.0,
BOL,2020-01-01 00:00:00.000,2.0,266.0,18.0,39.0,1.0,,2.0,323.0,
BOL,2021-01-01 00:00:00.000,2.0,146.0,4.0,29.0,1.0,,2.0,180.0,
BIH,2012-01-01 00:00:00.000,1.0,12.0,12.0,384.0,2.0,29.0,1.0,439.0,
BIH,2013-01-01 00:00:00.000,1.0,19.0,35.0,462.0,12.0,29.0,1.0,529.0,
BIH,2014-01-01 00:00:00.000,1.0,22.0,58.0,441.0,13.0,29.0,1.0,536.0,
BIH,2015-01-01 00:00:00.000,2.0,29.0,89.0,536.0,21.0,29.0,1.0,678.0,
BIH,2016-01-01 00:00:00.000,2.0,33.0,96.0,566.0,80.0,29.0,2.0,778.0,
BIH,2017-01-01 00:00:00.000,2.0,42.0,135.0,648.0,94.0,29.0,2.0,923.0,
BIH,2018-01-01 00:00:00.000,3.0,47.0,169.0,733.0,98.0,29.0,3.0,1053.0,
BIH,2019-01-01 00:00:00.000,3.0,56.0,219.0,788.0,130.0,29.0,3.0,1198.0,
BIH,2020-01-01 00:00:00.000,2.0,6.0,11.0,163.0,16.0,29.0,2.0,197.0,
BIH,2021-01-01 00:00:00.000,1.0,18.0,8.0,357.0,117.0,29.0,1.0,502.0,
BWA,2012-01-01 00:00:00.000,1364.0,40.0,46.0,140.0,1.0,16.0,9.0,1614.0,
BWA,2013-01-01 00:00:00.000,1182.0,150.0,53.0,151.0,1.0,6.0,3.0,1544.0,
