Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Serbia,SRB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,582598.178432449,581442.42657774,601179.626506044,594407.955261959,608144.817552485,631748.041531684,648464.005396491,681325.534141704,714663.434714592,712941.639274308,774038.259222636
Seychelles,SYC,GDP per capita (constant LCU),NY.GDP.PCAP.KN,180299.183449412,180790.204183323,188162.873406041,193604.352061647,200008.563568439,207915.333185462,214651.043894703,219413.612781877,224215.418181818,205207.885275538,219566.042031877
Sierra Leone,SLE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1111439.88099604,1246948.34947243,1467166.92118247,1496249.32019156,1159766.06451082,1200592.6840357,1221005.87881705,1233785.68963506,1268667.85272408,1215421.8438979,1237261.51013919
Singapore,SGP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,69722.2325109073,71050.0660996074,73276.7603565146,75178.0894246218,76502.9714533075,78206.4861003092,81779.5455764378,84376.491928247,84330.4604537966,81089.0872658885,90979.2968490709
Sint Maarten (Dutch part),SXM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,50115.1487961717,49044.4572748268,47015.5981096512,46392.4638450312,45210.3850611719,44135.9478595912,40956.1196825553,37952.7546154787,..,..,..
Slovak Republic,SVK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,13478.507642287,13633.0415145114,13704.5686503825,14060.555130993,14773.0434800244,15040.8207044342,15458.7230329576,16059.510671552,16441.8954971327,15873.4134641014,16386.6477874053
Slovenia,SVN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18699.1864453346,18167.4367416422,17956.05482261,18434.9668764973,18828.2322872785,19414.9852642222,20336.6352301697,21165.6208080066,21744.1295546559,20665.611849969,22302.4369580077
Solomon Islands,SLB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,15364.5969721213,15354.1178273329,15753.1788483168,15539.9874450722,15406.2612215585,15862.2325673219,15955.4964467384,16005.3333414233,15905.4982792414,15007.4292055307,14624.5466913235
Somalia,SOM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,7317424.80928785,7617065.24298106,8473941.72500888,8856607.63492396,8716257.9148951,9040080.90654849,9367559.50704886,9278125.87228554,9354804.15799984
South Africa,ZAF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,78174.1764752712,78990.4940297995,79858.9642859688,79721.4306910722,79117.1995549328,78872.5919855694,79477.4987147608,79704.5942501593,78917.7702328732,73013.8586366557,75839.7251688034
South Sudan,SSD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2774.66184388439,1431.93487630452,1560.95368363369,1598.18084514759,1428.10125046687,..,..,..,..,..,..
Spain,ESP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,22895.2770953717,22203.4032200805,21963.6639132373,22336.9040200227,23212.3134819392,23897.2661210201,24550.7309258365,25001.8409003133,25315.521935506,22339.0344755076,23547.154690161
Sri Lanka,LKA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,452553.538437344,490980.843657283,506903.29607967,534224.719087496,551596.917935145,573104.726774513,603274.191372878,610773.345233041,605709.138104848,581582.883566769,594502.690133598
St. Kitts and Nevis,KNA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,40173.7479245917,39843.8263456744,42081.8870768522,45249.7436648601,45571.4584641138,47364.6103624341,47370.9323009313,48367.4964929545,50376.8443997317,43119.3064942698,42772.3396210562
St. Lucia,LCA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,30244.3260042406,30013.1951664703,28917.8148961363,29188.7563711811,28656.9298442245,29599.2849455985,30472.2799863259,31222.3611606697,30898.6470841705,23285.0359234724,26072.5416125626
St. Martin (French part),MAF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18678.3750218485,19005.1441947392,19587.8613308516,19911.9892996109,20549.2317950452,21506.7608504855,21951.5523595676,22679.1738300358,22848.2768480043,21694.8046486734,22051.3686959137
Sudan,SDN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,588.233947753906,549.043334960938,546.854431152344,556.683959960938,549.959228515625,551.602416992188,537.725830078125,506.872131347656,481.689453125,451.582763671875,431.335510253906
Suriname,SUR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,30990.9312029789,31484.5584480507,32072.764284587,31831.0090541741,30435.7270081237,28642.0398553279,28788.5982514096,29899.8677816798,29917.4664043538,24858.0003788721,23945.9546318425
Sweden,SWE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,417861.783833214,412341.819955808,413718.979219466,420521.528736782,434777.949923596,438239.418487295,443477.02625392,446903.229750254,451182.603719644,438212.528741649,457695.036901111
Switzerland,CHE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,78794.3323882343,78881.4762442413,79377.1364211643,80257.1856480843,80653.7603369846,81428.1426355893,81771.220704604,83492.9339704867,83846.1840313086,81258.454253084,84054.1539776674
Syrian Arab Republic,SYR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,67626.1077898368,50089.851721104,38822.0332407867,37288.8529536725,37343.3664608576,35395.3322282366,35103.9301603566,34948.472500762,34028.9809297336,31648.910499627,..
Tajikistan,TJK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,538.435678465999,566.337325181219,594.773474456807,620.161720360475,642.240677949002,670.714809477431,702.221998145767,738.814907584597,775.741423666673,792.375141815534,846.917517669628
Tanzania,TZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1655623,1680612.125,1741207.375,1801442.5,1849616.75,1909190,1971263.5,2013460.625,2066944.625,2045727.625,2070179.375
Thailand,THA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,120815.240282727,128733.47656969,131392.220269099,131960.599787799,135450.710246508,139483.292578897,144713.698099142,150337.908656309,153185.088697846,143356.9753196,145300.834262288
Timor-Leste,TLS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1234.2757076687,1266.14496084205,1278.5951356344,1309.53326773488,1322.3010040038,1346.10378772486,1285.34479277624,1257.64689393742,1530.8111978179,1988.9826568753,2061.01903301018
Togo,TGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,396243.65436637,411325.208344312,425436.09637404,439362.242928233,453102.768602434,466546.644365996,474962.608854554,486584.092642443,500923.924924306,497660.667710581,511585.133725606
Tonga,TON,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8227.38660545855,8303.51714386709,8361.57308407026,8567.40944985276,8708.97551874258,9317.68000227043,9653.92116871413,9701.59771754636,9788.66328095968,9808.1783115131,9477.83845986964
Trinidad and Tobago,TTO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,115188.462345601,121913.375195,125689.834016462,128977.302336325,127168.525454999,117827.694621934,111577.075229333,108686.618826352,107715.21121678,99562.9115587008,98055.4082930437
Tunisia,TUN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,7325.67010933487,7537.65168958322,7634.79076278083,7782.12428650476,7769.83190282493,7770.71604042799,7860.5128941485,7981.9553121455,8023.77629133078,7264.26674904535,7515.73072245446
Turkiye,TUR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,16358.7828091014,16890.8143833108,18013.3732701542,18531.4800504654,19280.3631719779,19583.4192329308,20778.0463379226,21211.3013822698,21205.3360531156,21448.7614337684,23703.6440616668
Turkmenistan,TKM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,6259.12458021743,6829.20824111022,7388.5213651925,8001.23524849766,8368.69548946307,8732.88535298517,9144.97042163682,9557.14059830511,10005.2389858925,..,..
Turks and Caicos Islands,TCA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,23828.5501038422,22666.4069075154,21877.3590522117,22837.544661998,24341.0640976518,24940.2264289076,23343.8058427869,23677.2651674018,24015.8240482823,17108.7180413768,17143.5297246974
Tuvalu,TUV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,4392.52336448598,4238.06891468583,4396.40959882762,4404.07376823562,4872.66709570654,5160.33910799853,5264.13003324714,5338.2420616659,6024.09638554217,6052.94064504472,6158.51481613709
Uganda,UGA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2536217.68565094,2558428.89200761,2575044.00026422,2627358.22298596,2679535.55453058,2715553.51631823,2704358.93665089,2778702.58755096,2858887.85605419,2846785.71211895,2854312.63551719
Ukraine,UKR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,62668.73828125,62919.39453125,63091.4765625,60015.609375,54347.8359375,55899.359375,57470.4921875,59778.7265625,62046.56640625,60122.09375,62718.44140625
United Arab Emirates,ARE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,132705.945338916,137604.388928087,143126.029429168,147669.139417452,156259.581727095,163531.129785488,163388.324473114,164233.434060568,164765.035566301,155322.27801623,160063.336044732
United Kingdom,GBR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,27821.3877403005,28028.7902481962,28348.3781482779,29040.7775896765,29501.0679290209,29912.2682175999,30435.7190910609,30767.6583347206,31085.4085084598,27555.5463395,29521.0064989351
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,53394.8618380061,54213.4595516389,54830.7840664164,55675.3868536862,56762.7294515989,57292.5387829091,58207.578310388,59607.3936602496,60698.0112990179,58453.446127536,61855.5186299157
Uruguay,URY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,449859.318689079,464464.120460391,484559.688511111,498707.52138627,498915.382103892,505718.978512294,512684.209222138,514406.540713537,516003.437104499,484320.77139506,505888.020231973
Uzbekistan,UZB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2892925.89146336,3053116.97736654,3225120.4518834,3389153.44239654,3570975.32149053,3717602.16645367,3816210.99632587,3951335.27176759,4099293.71513102,4097103.21630168,4315013.07857918
Vanuatu,VUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,226145.471041887,223086.280133534,218829.448951558,220348.464584869,215947.156324384,220660.410002189,228925.127222737,229971.274613351,231882.629663211,214245.151354733,210182.460824035
"Venezuela, RB",VEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1998.14240085779,2083.75348900623,2085.72428446243,1980.91431537464,..,..,..,..,..,..,..
Vietnam,VNM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,33000375.0914681,34445647.5371933,35969328.9758814,37873326.1560105,40099467.8483995,42352528.7837153,44855240.6809146,47756108.0608165,50808966.9727243,51793317.2086097,52673487.4263231
Virgin Islands (U.S.),VIR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,44325.422476683,37795.3192590675,35468.0167714109,34889.972377227,34796.4943553179,35417.9843000112,35234.5708932616,35999.6635545462,37114.8131134631,36447.4550757362,..
West Bank and Gaza,PSE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3128.10811061384,3237.91619995789,3309.63120243098,3227.84934482645,3272.15432360708,3483.09903532972,3462.97986107136,3417.79440837962,3378.4346209191,2922.46801084844,3052.58301814697
