"iso3","year","gdp"
DEU,2021-01-01 00:00:00.000,43855.8544658618
GHA,2021-01-01 00:00:00.000,1536.59184802508
GRC,2021-01-01 00:00:00.000,21912.9982879517
GRD,2021-01-01 00:00:00.000,6900.77178600369
GTM,2021-01-01 00:00:00.000,3355.03691881272
GIN,2021-01-01 00:00:00.000,707.967680829951
GNB,2021-01-01 00:00:00.000,598.572671326768
GUY,2021-01-01 00:00:00.000,5461.39096662381
HTI,2021-01-01 00:00:00.000,1356.17288178571
HND,2021-01-01 00:00:00.000,2107.35083070622
HUN,2021-01-01 00:00:00.000,12984.8365730133
ISL,2021-01-01 00:00:00.000,45995.5478789467
IND,2021-01-01 00:00:00.000,1434.01819806113
IDN,2021-01-01 00:00:00.000,3668.21207047486
IRN,2021-01-01 00:00:00.000,8329.00204422921
IRQ,2021-01-01 00:00:00.000,6437.50307624074
IRL,2021-01-01 00:00:00.000,49054.6974340641
ISR,2021-01-01 00:00:00.000,33156.2283157638
ITA,2021-01-01 00:00:00.000,35051.5212697703
JAM,2021-01-01 00:00:00.000,5365.24229295272
JPN,2021-01-01 00:00:00.000,49145.2804308193
JOR,2021-01-01 00:00:00.000,4386.46181582146
KAZ,2021-01-01 00:00:00.000,12386.6992652963
KEN,2021-01-01 00:00:00.000,1289.78082201489
KIR,2021-01-01 00:00:00.000,1698.92088345979
PRK,2021-01-01 00:00:00.000,
KOR,2021-01-01 00:00:00.000,25466.7605170594
KWT,2021-01-01 00:00:00.000,51277.6621064846
KGZ,2021-01-01 00:00:00.000,1177.97473487848
LAO,2021-01-01 00:00:00.000,1566.00974499584
LVA,2021-01-01 00:00:00.000,13847.3379393194
LBN,2021-01-01 00:00:00.000,8500.1805629531
LSO,2021-01-01 00:00:00.000,1205.86000258954
LBR,2021-01-01 00:00:00.000,644.455576742833
LBY,2021-01-01 00:00:00.000,15764.9154546761
LIE,2021-01-01 00:00:00.000,149459.235301044
LTU,2021-01-01 00:00:00.000,14367.709424872
